,diversity,environment,culture,worklife,pay,growth,leadership,personaldevelopment
"Wind River Systems, Inc.",0.7887111111111111,0.845047619047619,1.069752176825184,0.44756620428751576,0.6474279460051077,1.3222139435870144,1.4879699911738746,1.3771840354767184
Healthcare Catalyst,4.732266666666667,1.4084126984126983,1.9414020986827416,1.2308070617906683,1.6185698650127691,1.4166577967003726,1.957855251544572,2.3608869179600886
The Federal Reserve Board,0.0,1.1267301587301588,0.5150658629158295,0.22378310214375788,0.5179423568040861,2.2666524747205963,1.0180847308031773,1.6722949002217296
"Affirm, Inc.",2.3661333333333334,1.9717777777777779,1.624438490734539,0.6713493064312737,0.5826851514045969,2.6444278871740288,1.4096557811120918,2.3608869179600886
"University of California, Davis",0.0,0.2816825396825397,0.3169636079482027,1.1189155107187894,2.0070266326158337,0.47221926556679084,0.5481994704324802,0.6885920177383592
Robinhood,0.0,0.7042063492063492,0.9905112748381335,0.7832408575031525,0.5826851514045969,1.9833209153805216,0.7048278905560459,0.7869623059866963
Unity Technologies,0.0,0.7042063492063492,1.4263362357669123,0.7832408575031525,1.100627508208683,2.738871740287387,1.1747131509267432,0.8853325942350333
"University of California, San Diego",0.0,0.2816825396825397,0.2773431569546774,1.2308070617906683,1.2948558920102153,0.5666631186801491,0.23494263018534864,0.2951108647450111
"Gallup, Inc.",0.0,1.4084126984126983,1.2678544317928109,1.678373266078184,0.84165632980664,1.2277700904736562,1.0180847308031773,1.4755543237250555
"Equinix, Inc.",3.9435555555555557,0.9858888888888889,1.1886135298057603,0.44756620428751576,0.4531995622035753,1.03888238424694,1.879541041482789,0.7869623059866963
The Broad Institute,0.7887111111111111,1.4084126984126983,1.030131725831659,1.0070239596469104,1.942283838015323,1.8888770622671633,0.7831421006178287,2.1641463414634146
"VMware, Inc.",1.5774222222222223,0.4225238095238095,1.1093726278187095,0.11189155107187894,0.5179423568040861,1.03888238424694,1.6445984112974403,1.1804434589800443
Lawrence Livermore National Laboratory,0.0,0.9858888888888889,0.7924090198705068,0.7832408575031525,1.100627508208683,0.5666631186801491,0.23494263018534864,1.2788137472283814
"William Blair & Company, L.L.C.",2.3661333333333334,0.4225238095238095,0.5546863139093547,2.349722572509458,0.32371397300255383,0.7555508249068653,0.7831421006178287,1.0820731707317073
Harvard University,2.3661333333333334,0.5633650793650794,0.7131681178834561,0.5594577553593947,0.84165632980664,1.03888238424694,0.39157105030891437,0.7869623059866963
Carnegie Mellon University,0.7887111111111111,0.4225238095238095,0.6339272158964054,0.8951324085750315,1.4890842758117475,0.28333155934007453,0.15662842012356576,0.5902217294900222
