company,pros_average,cons_average,sum_pros_and_cons
"Excellus Health Plan, Inc.",0.629309,-0.06489600000000001,0.564413
Fidelity Management and Research LLC,0.672132,0.0015889999999999954,0.6737209999999999
Ford Motor Company,0.6002040000000001,-0.108022,0.49218200000000006
Fractal Analytics Inc,0.55302875,-0.10958375000000001,0.443445
"Gallup, Inc.",0.666988,-0.0013759999999999992,0.665612
"Genentech, Inc.",0.726544,0.014253,0.7407969999999999
General Electric Company,0.53031,0.082865,0.6131749999999999
Google Inc.,0.6466122222222223,-0.029658888888888887,0.6169533333333334
Guidewire Software,0.65549875,-0.05054499999999999,0.6049537500000001
H. E. Butt Grocery Company,0.6365033333333333,-0.09055444444444445,0.5459488888888888
Harvard University,0.641006,-0.016856000000000003,0.62415
Healthcare Catalyst,0.853159,0.25197600000000003,1.105135
Henkel AG & Co. KGaA,0.707168888888889,-0.04076777777777778,0.6664011111111112
Humana Inc.,0.6085257575757576,-0.06571969696969696,0.5428060606060606
"Indeed, Inc.",0.76338,0.06591375000000001,0.8292937499999999
Intel Corporation,0.5925533333333333,-0.024120000000000003,0.5684333333333332
International Business Machines Corporation,0.6761360000000001,0.065027,0.741163
Intuit Inc.,0.8249444444444445,0.1973133333333333,1.0222577777777777
Johns Hopkins University Applied Physics Laboratory,0.729259,0.018795,0.748054
Lawrence Berkeley National Laboratory,0.631501,-0.08055,0.550951
Lawrence Livermore National Laboratory,0.7300239999999999,0.007885,0.7379089999999999
LinkedIn Corporation,0.7273010000000001,0.044745,0.7720460000000001
Lockheed Martin Corporation,0.594559,-0.007422999999999998,0.587136
Logistics Management Institute,0.6760900000000001,-0.004397777777777779,0.6716922222222222
"Lyft, Inc.",0.59955,-0.154705,0.44484500000000005
Massachusetts Mutual Life Insurance Company,0.6079300000000001,0.11774714285714286,0.7256771428571429
Mastercard Incorporated,0.6780750000000001,-0.022435,0.6556400000000001
Michigan State University,0.621009,-0.080197,0.5408120000000001
"Milliman, Inc.",0.6873210000000001,-0.098002,0.589319
NASA Jet Propulsion Laboratory,0.6066320000000001,0.017159,0.6237910000000001
NVIDIA Corporation,0.670264,0.065897,0.736161
National Aeronautics and Space Administration,0.5284989999999999,-0.033748,0.49475099999999994
National Institutes of Health,0.573802,0.026264999999999997,0.600067
"Netflix, Inc.",0.637599,0.040553,0.678152
Netskope Inc.,0.810662,0.18390399999999998,0.994566
Nielsen Holdings B.V.,0.61295,0.006018750000000002,0.61896875
"Noblis, Inc.",0.746489,0.038221000000000005,0.78471
Northrop Grumman,0.6052759999999999,-0.013362666666666663,0.5919133333333333
Numerator ,0.669704,0.116356,0.78606
"PROS Holdings, Inc.",0.718597,0.09618700000000001,0.8147840000000001
Pactera,0.45177700000000004,-0.129912,0.32186500000000007
"Patagonia, Inc.",0.6982900000000001,0.015313999999999996,0.7136040000000001
"PayPal, Inc.",0.5606433333333334,0.06812,0.6287633333333333
Paylocity Corporation,0.757769,0.030269000000000004,0.788038
Pivotal,0.720793,0.018471000000000005,0.739264
Purdue University,0.510768,-0.08113899999999999,0.42962900000000004
"Red Hat, Inc.",0.6951170000000001,-0.004833000000000003,0.6902840000000001
Rivian Automotive LLC.,0.6587390000000001,-0.006694999999999999,0.6520440000000001
Robinhood,0.723469,0.031066000000000003,0.7545350000000001
Roche Holding Ltd,0.6844929999999999,0.005762,0.690255
SAP Aktiengesellschaft,0.651359,0.012196,0.663555
Salesforce,0.7168311111111111,0.05803444444444444,0.7748655555555555
Sandia National Laboratories,0.6361399999999999,-0.012710000000000003,0.6234299999999999
ServiceNow,0.70255,0.09494714285714285,0.7974971428571429
"Slack Technologies, Inc.",0.7908709999999999,0.160153,0.9510239999999999
Southern California Edison Company,0.6131369999999999,-0.05383999999999999,0.5592969999999999
Southwest Airlines Co.,0.641444,-0.031619,0.6098250000000001
"Square, Inc.",0.698123,0.063787,0.7619100000000001
Tata Consultancy Services Limited,0.52164125,-0.02495125,0.49668999999999996
The AES Corporation,0.723798,-0.0017639999999999967,0.7220340000000001
The Boston Consulting Group Inc.,0.66642,-0.048151,0.618269
The Broad Institute,0.6958759999999999,-0.011912,0.6839639999999999
"The Capital Group Companies, Inc.",0.6833790000000001,0.021732,0.705111
The Federal Reserve Board,0.681478,-0.011490000000000002,0.669988
"The Home Depot, Inc.",0.66866,-0.13368875,0.53497125
The Leland Stanford Junior University,0.6559480000000001,-0.11331,0.5426380000000001
"The MathWorks, Inc.",0.717076,-0.016381,0.7006950000000001
"The University of California, Berkeley",0.60773875,-0.07798625000000001,0.5297525
The University of Michigan,0.584665,-0.049163,0.535502
The University of Minnesota,0.5883780000000001,-0.070559,0.517819
The University of Texas at Austin,0.521423,-0.03747,0.48395299999999997
The University of Utah,0.641473,-0.057452,0.5840209999999999
"Twitter, Inc.",0.6433884615384615,0.052862820512820506,0.6962512820512821
Two Sigma,0.7460840000000001,0.015155000000000004,0.7612390000000001
US Department of the Air Force,0.55165,0.006926666666666666,0.5585766666666666
Uber,0.468148,-0.057363,0.410785
"Udemy, Inc.",0.712584,0.165437,0.8780209999999999
Unity Technologies,0.75129,0.08550100000000001,0.8367910000000001
"University of California, Davis",0.542693,-0.016352999999999996,0.52634
"University of California, San Diego",0.5975079999999999,-0.018432,0.5790759999999999
University of Virginia,0.597364,-0.087308,0.5100560000000001
University of Washington,0.6278950000000001,-0.066269,0.5616260000000001
"VMware, Inc.",0.6827880000000001,0.041669,0.724457
"Verisk Analytics, Inc.",0.6782720000000001,-0.022131999999999995,0.6561400000000001
Verizon Communications Inc.,0.6704633333333334,-0.020056666666666664,0.6504066666666668
"William Blair & Company, L.L.C.",0.633197,0.051463,0.68466
"Wind River Systems, Inc.",0.706817,0.132405,0.839222
Yale University,0.6167549999999999,-0.071198,0.545557
"Zillow, Inc.",0.660617,0.064215,0.724832
Zoom Video Communications Inc,0.7015689999999999,0.062380000000000005,0.7639489999999999
Zynga,0.728386,0.056714,0.7851
"athenahealth, Inc.",0.728406,0.04515,0.773556
